From	To	Species	Gene Name
P08254	MMP3	Homo sapiens	matrix metallopeptidase 3(MMP3)
P36222	CHI3L1	Homo sapiens	chitinase 3 like 1(CHI3L1)
P08253	MMP2	Homo sapiens	matrix metallopeptidase 2(MMP2)
P35908	KRT2	Homo sapiens	keratin 2(KRT2)
P03952	KLKB1	Homo sapiens	kallikrein B1(KLKB1)
Q96PD5	PGLYRP2	Homo sapiens	peptidoglycan recognition protein 2(PGLYRP2)
P22792	CPN2	Homo sapiens	carboxypeptidase N subunit 2(CPN2)
P01031	C5	Homo sapiens	complement C5(C5)
P07357	C8A	Homo sapiens	complement C8 alpha chain(C8A)
P07358	C8B	Homo sapiens	complement C8 beta chain(C8B)
P49747	COMP	Homo sapiens	cartilage oligomeric matrix protein(COMP)
P01033	TIMP1	Homo sapiens	TIMP metallopeptidase inhibitor 1(TIMP1)
Q14624	ITIH4	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain family member 4(ITIH4)
P04259	KRT6B	Homo sapiens	keratin 6B(KRT6B)
P02774	GC	Homo sapiens	GC, vitamin D binding protein(GC)
Q9NZP8	C1RL	Homo sapiens	complement C1r subcomponent like(C1RL)
P60709	ACTB	Homo sapiens	actin beta(ACTB)
P36955	SERPINF1	Homo sapiens	serpin family F member 1(SERPINF1)
P18428	LBP	Homo sapiens	lipopolysaccharide binding protein(LBP)
P08697	SERPINF2	Homo sapiens	serpin family F member 2(SERPINF2)
P04264	KRT1	Homo sapiens	keratin 1(KRT1)
P00734	F2	Homo sapiens	coagulation factor II, thrombin(F2)
P01023	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
P55058	PLTP	Homo sapiens	phospholipid transfer protein(PLTP)
P00736	C1R	Homo sapiens	complement C1r(C1R)
P08637	FCGR3A	Homo sapiens	Fc fragment of IgG receptor IIIa(FCGR3A)
P00915	CA1	Homo sapiens	carbonic anhydrase 1(CA1)
P01042	kng1	Homo sapiens	kininogen 1(KNG1)
Q06033	ITIH3	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 3(ITIH3)
P26038	MSN	Homo sapiens	moesin(MSN)
P00742	F10	Homo sapiens	coagulation factor X(F10)
P08729	KRT7	Homo sapiens	keratin 7(KRT7)
P10909	CLU	Homo sapiens	clusterin(CLU)
P04278	SHBG	Homo sapiens	sex hormone binding globulin(SHBG)
P02790	HPX	Homo sapiens	hemopexin(HPX)
P00748	F12	Homo sapiens	coagulation factor XII(F12)
P00746	CFD	Homo sapiens	complement factor D(CFD)
P02750	LRG1	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
P35443	THBS4	Homo sapiens	thrombospondin 4(THBS4)
O75636	FCN3	Homo sapiens	ficolin 3(FCN3)
P02751	FN1	Homo sapiens	fibronectin 1(FN1)
P02753	RBP4	Homo sapiens	retinol binding protein 4(RBP4)
Q9UGM5	FETUB	Homo sapiens	fetuin B(FETUB)
P16112	ACAN	Homo sapiens	aggrecan(ACAN)
P04003	C4BPA	Homo sapiens	complement component 4 binding protein alpha(C4BPA)
P25311	AZGP1	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding(AZGP1)
P19827	ITIH1	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 1(ITIH1)
P19823	ITIH2	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)
P01834	igkc	Homo sapiens	immunoglobulin kappa constant(IGKC)
P00751	CFB	Homo sapiens	complement factor B(CFB)
P35858	IGFALS	Homo sapiens	insulin like growth factor binding protein acid labile subunit(IGFALS)
P02760	AMBP	Homo sapiens	alpha-1-microglobulin/bikunin precursor(AMBP)
P43251	BTD	Homo sapiens	biotinidase(BTD)
P05543	SERPINA7	Homo sapiens	serpin family A member 7(SERPINA7)
Q15848	ADIPOQ	Homo sapiens	adiponectin, C1Q and collagen domain containing(ADIPOQ)
P02768	ALB	Homo sapiens	albumin(ALB)
Q92954	PRG4	Homo sapiens	proteoglycan 4(PRG4)
P0CF74	IGLC6	Homo sapiens	immunoglobulin lambda constant 6 (gene/pseudogene)(IGLC6)
P02765	AHSG	Homo sapiens	alpha 2-HS glycoprotein(AHSG)
P06727	APOA4	Homo sapiens	apolipoprotein A4(APOA4)
P43652	AFM	Homo sapiens	afamin(AFM)
Q9ULW0	TPX2	Homo sapiens	TPX2, microtubule nucleation factor(TPX2)
P05154	SERPINA5	Homo sapiens	serpin family A member 5(SERPINA5)
P08185	SERPINA6	Homo sapiens	serpin family A member 6(SERPINA6)
P51884	LUM	Homo sapiens	lumican(LUM)
P05155	SERPING1	Homo sapiens	serpin family G member 1(SERPING1)
P05156	CFI	Homo sapiens	complement factor I(CFI)
Q12805	EFEMP1	Homo sapiens	EGF containing fibulin like extracellular matrix protein 1(EFEMP1)
P04004	VTN	Homo sapiens	vitronectin(VTN)
Q7Z3Y8	KRT27	Homo sapiens	keratin 27(KRT27)
Q96IY4	cpb2	Homo sapiens	carboxypeptidase B2(CPB2)
