Sample	AQP1	S100A1	TAGLN2	CPAMD8	IGFBP7	CTSZ	GPNMB	S100A4	COL1A1	CD74
SH011	0.2939293823	3.8271760078	0.9712979878	1.7514790392	2.2434559342	0.2087653226	0.1308049294	1.5201450038	0.2009151209	0.1460521009
SH026	0.1860006024	4.959490065	0.7536837335	1.9164307735	0.8460688173	0.1831099237	0.0854490224	0.9548818323	0.2715674625	0.0801509546
SH037	0.2626616752	1.8460179486	1.3071018967	2.5180765129	1.1890491175	0.144946896	0.1079210911	0.2085586986	1.8635963486	0.0905086642
SH020	0.1083623475	3.1183605845	0.5283520348	1.1096283465	0.1830847486	0.0996563069	0.0778495346	0.1442677887	0.106058242	0.0919583136
SH004	0.0787504447	5.0455586862	0.4629248436	2.656921105	0.7681793573	0.1091516503	0.0320427768	0.5146358094	0.2284023769	0.0293130107
SH038	0.1501636397	5.2836574672	0.4774246101	2.2849846098	0.4262536147	0.1841080058	0.1107656537	0.1539730518	0.1935140646	0.0800343362
SH046	0.134901387	6.2457055033	0.6713756867	3.7489555922	1.207727785	0.1634196378	0.0984600909	0.3932272131	0.1709133717	0.0404036553
SH047	0.2454463991	2.2592573919	0.8806662229	1.69633185	0.813104125	0.1228395873	0.1282801108	0.2409506254	0.6163278516	0.0420795416
SH025	0.0622733047	7.3750228248	0.5425526479	2.0039211421	1.1751184666	0.2244678374	0.236885095	0.5113858172	0.5481446041	0.112381284
SH035	0.495620971	5.4019130123	0.7145617917	3.5592662175	1.1178408367	0.1724516214	0.3826393691	0.3392266936	0.8421266988	0.1917796998
SH053	0.1567896671	2.664019673	0.6401430741	2.0431513115	0.4945456771	0.1120700769	0.0735212641	0.2012016683	0.0598663886	0.0365133873
SH018	0.109986174	5.5755871963	0.8435368267	1.8833686955	0.8430334562	0.1376870724	0.0913963523	0.2496750914	1.2280580613	0.1287632638
SH051	0.2405685042	2.897364281	0.8755280552	0.9950740085	0.5969834062	0.0822679079	0.1896827528	0.3343038907	0.7701312569	0.0645087522
SH048	0.2313931718	4.0516883721	0.6731757975	3.4283931926	1.6360442325	0.2090864228	0.2026475126	0.3172428163	0.9147216151	0.040636866
SH052	0.3278439494	2.2365961678	1.0607013251	1.6849289674	0.715943179	0.1967369856	0.226878735	0.4256443957	0.6935514552	0.1970143183
SH009	0.1582565849	5.1454904229	0.5222852124	2.7835546208	0.4765561467	0.0948228209	0.2694029137	0.2057536613	0.7114599979	0.1127551778
SH013	0.5506102048	8.8499324312	1.0536348143	1.3339715825	1.9212998906	0.1784597075	0.2059130822	0.2637596205	2.4407802131	0.2142348237
SH040	0.1241321932	2.435981173	0.6419041368	1.5396205218	2.299062984	0.1652481638	0.2427423267	0.1632634703	0.8558001295	0.1487511521
SH054	0.3597915648	4.3932140532	1.1365926342	1.444214349	2.220983057	0.178001596	0.126424074	0.4478455066	0.4145946835	0.0537571833
SH055	0.0896694215	5.2637703482	0.4698924902	1.8692190178	0.9340307991	0.1126510007	0.1924643121	0.1214224684	0.1997469049	0.0469890339
SH003	0.512346088767263	2.01149262575843	1.16201373457794	1.20403679916364	2.37055514265601	0.150969033511362	0.120617976740979	0.393124204669738	1.89304493469692	0.076506448239122
SH019	0.301083295094541	5.37753159812904	0.991086442148714	1.14785590709715	1.80498186473553	0.113615499948604	0.198309563942903	0.394560870019282	1.11931499550181	0.171450416828258
