Sample,DNA..µg.,DNA.µl.in.well,Papain.digest.volume,xvolume,Weight..mg.,DNA.mg,Average,Stdev,Group
SH037(1) #3,0.330041965325001,0.0330041965325,98.55,3.25256356827789,4.1,0.793308187384851,0.628217040176173,0.082911734899437,OA
SH038(1) #3,0.389131872978536,0.038913187297854,105.76,4.11545868862099,4.4,0.935331520141135,0.928153753001261,0.036248885593026,OA
SH039(1) #3,0.360685582671763,0.036068558267176,93.75,3.38142733754778,3.9,0.867032650653277,1.27894059511087,0.207585973671374,OA
SH040(1) #3,0.262163835810333,0.026216383581033,81.73,2.14266503007785,3.4,0.63019559708172,0.572749909858098,0.037244407402147,OA
SH041(1) #3,0.345873272510298,0.03458732725103,201.92,6.98387311852793,8.4,0.83141346649142,0.655933776727047,0.094046373005657,OA
SH043(1) #3,0.288079839858336,0.028807983985834,108.17,3.11615962774762,4.5,0.69247991727725,0.653666513926748,0.025445960013117,OA
SH045(1) #3,0.30863230072242,0.030863230072242,120.19,3.70945162238276,5,0.741890324476552,0.695827579246987,0.063720178932854,OA
SH046(1) #3 ,0.268003346802171,0.026800334680217,96.15,2.57685217950288,4,0.644213044875719,0.609347260616783,0.039624585675661,OA
SH047(1) #3,0.373416916507677,0.037341691650768,60.09,2.24386225129463,2.5,0.897544900517852,0.788252434037614,0.060048686100072,OA
SH048(1) #3,0.354024711547197,0.03540247115472,62.5,2.21265444716998,2.6,0.851020941219224,0.934964981564762,0.172777333069647,OA
SH049(1) #3,0.270329122340426,0.027032912234043,50.48,1.36462140957447,2.1,0.649819718844985,0.846792923118056,0.114154077145673,OA
SH051(1) #3,0.271922277639235,0.027192227763924,67.31,1.83030885078969,2.8,0.65368173242489,0.597814796724818,0.045455357811307,OA
SH052(1) #3,0.240980881130507,0.024098088113051,72.12,1.73795411471322,3,0.579318038237739,0.585606119759716,0.143432733799701,OA
SH053(1) #3,0.244753623188406,0.024475362318841,45.7,1.11852405797101,1.9,0.588696872616323,0.726019004416805,0.161695498614017,OA
SH053(1) #3,0.23668659018606,0.023668659018606,108.2,2.56094890581317,4.5,0.569099756847371,0.535245741258466,0.024816293653038,OA
SH055(1) #3,0.19077975957141,0.019077975957141,96.2,1.83530128707696,4,0.458825321769241,0.446245434796812,0.067332145049476,OA
SH057(1) #3,0.373151666666667,0.037315166666667,91.35,3.408740475,3.8,0.897036967105263,0.756891238151383,0.070102907104754,OA
SH059(1) #3,0.27449,0.027449,197.1,5.4101979,8.2,0.659780231707317,0.647767611708707,0.006827887317695,OA
SH060(1) #3,0.251520170789164,0.025152017078916,161.1,4.05198995141343,6.7,0.604774619613945,0.579258648073291,0.018926806480441,OA
SH064(1) #3,0.22780100035727,0.022780100035727,177.9,4.05257979635584,7.4,0.547645918426465,0.621028563704476,0.038076999594742,OA
SH065(1) #3,0.154253304751697,0.01542533047517,72.1,1.11216632725974,3,0.370722109086579,0.40742547420564,0.021237798658594,OA
SH066(1) #3,0.177486416253248,0.017748641625325,110.6,1.96299976376092,4.6,0.426739079078462,0.472032445144404,0.042415946162225,OA
SH070(1) #3,0.172818503810239,0.017281850381024,115.4,1.99432553397016,4.8,0.415484486243784,0.450168559696043,0.017383889650866,OA
SH071(1) #3,0.145162963758005,0.014516296375801,144.2,2.09324993739043,6,0.348874989565072,0.389209174969505,0.020345997373881,OA
SH074(1) #3,0.275485811227637,0.027548581122764,76.9,2.11848588834053,3.2,0.662026840106416,0.525688584459456,0.069579297582139,OA
SH075(1) #3,0.225534986413043,0.022553498641304,91.8,2.07041117527174,3.8,0.544845046124142,0.515408991066299,0.021632392906256,OA
SH063(1) #3,0.640834908091393,0.064083490809139,93.8,6.01103143789727,3.9,1.54129011228135,0.999020553201331,0.275289886593423,OA
SH076(1) #3,0.07643333858847,0.007643333858847,200,1.52866677176941,4.3,0.35550390041149,0.381706417607774,0.035370163927463,OA
SH077(1) #3,0.161022369740345,0.016102236974035,84.1,1.3541981295163,3.5,0.386913751290372,0.416945467866611,0.02215410489177,OA
SH078(1) #3,0.333732125159281,0.033373212515928,108.2,3.61098159422342,4.5,0.802440354271871,0.799416218178773,0.025504884672206,OA
SH079(1) #3,0.195631808278867,0.019563180827887,91.3,1.78611840958606,3.8,0.470031160417383,0.493792036774817,0.025598014782897,OA
SH080(1) #3,0.221230936819172,0.022123093681917,88.9,1.96674302832244,3.7,0.531552169816876,0.485925048796438,0.042659922833594,OA
