Sample,DNA (µg),DNA/µl in well,Papain digest volume,xvolume,Weight (mg) ,DNA/mg,Average,Stdev
SH006(1) #2,0.089610669889503,0.00896106698895,165.86,1.48628257078729,6.9,0.215403271128593,,
SH006(1) #3,0.081490273941068,0.008149027394107,149,1.21420508172192,6.2,0.195839529309987,0.202491015857395,0.006457112802841
SH006(2) #1,0.100728015653775,0.010072801565378,165.8,1.67007049953959,6.9,0.242039202831825,,
SH006(2) #2,0.107186636740332,0.010718663674033,141.82,1.52012088225138,5.9,0.257647607161251,,
SH006(2) #3,0.117918393186004,0.0117918393186,182.6,2.15318985957643,7.6,0.283314455207425,0.2610004217335,0.012032492659937
SH007(1) #1,0.122200537406307,0.012220053740631,233.1,2.84849452694103,9.7,0.293659229581549,,
SH007(1) #2,0.158940743883468,0.015894074388347,127.4,2.02490507707538,5.3,0.382057561712336,,
SH007(1) #3,0.159786451704144,0.015978645170414,197.1,3.14939096308867,8.2,0.38407206866935,0.353262953321078,0.029807535245771
SH007(2) #1,0.20073681233206,0.020073681233206,151.4,3.03915533870739,6.3,0.482405609318634,,
SH007(2) #2,0.115016263611936,0.011501626361194,139,1.59872606420591,7.8,0.204964880026399,,
SH007(2) #3,0.155217083863669,0.015521708386367,134.61,2.08937716588884,5.6,0.373103065337293,0.353491184894109,0.080688307617317
SH008(1) #1,0.182184417272137,0.018218441727214,115.38,2.10204380648591,4.8,0.437925793017898,,
SH008(1) #2,0.130376129718235,0.013037612971824,139.42,1.81770400053163,5.8,0.313397241470971,,
SH008(1) #3 ,0.180469903715518,0.018046990371552,112.9,2.03750521294819,4.7,0.433511747435786,0.394944927308218,0.040793748494338
SH008(2) #1,0.216542619174198,0.02165426191742,173.07,3.74770311004785,7.2,0.520514320839979,,
SH008(2) #2,0.211480300076791,0.021148030007679,108.17,2.28758240593065,4.5,0.508351645762367,,
SH008(2) #3,0.158885640025991,0.015888564002599,122.59,1.94777906107862,5.1,0.381917462956593,0.470261143186313,0.044311161286442
SH009(1) #1,0.110587561534337,0.011058756153434,269.2,2.97701715650436,11.2,0.265805103259318,,
SH009(1) #2,0.164990008285812,0.016499000828581,329.3,5.43312097285178,13.7,0.39657817320086,,
SH009(1) #3,0.101575522737242,0.010157552273724,293.2,2.97819432665594,12.2,0.244114289070159,0.302165855176779,0.047619629009675
SH009(2) #1,0.223308719598382,0.022330871959838,276.4,6.17225300969928,11.5,0.536717653017328,,
SH009(2) #2,0.120863186625725,0.012086318662573,250,3.02157966564312,10.4,0.290536506311839,,
SH009(2) #3,0.133845104060048,0.013384510406005,411,5.50103377686797,17.1,0.321697881688185,0.382984013672451,0.077391389978692
SH011(1) #1,0.168619000711432,0.016861900071143,139.42,2.35088610791879,5.8,0.405325191020481,,
SH011(1) #2,0.238986482788814,0.023898648278882,122.5,2.92758441416297,5.1,0.574036159639799,,
